Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
60,101,Nd,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7648,499,2343,447,-5082,565,,,3526,500,13357,565,8044,2,160954280,429,-42588,400,
61,101,Pm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , , , , ,8160,358,2231,300,-4465,424,-6820.0,500,4206,423,11071,500,8063,2,161950220,322,-46370,300,
61,102,Pm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7471,499,3209,445,-4586,565,,,4951,500,10988,565,8044,2,162953570,429,-43249,400,
62,101,Sm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,5765,305,-88,300,-3338,423,-7471.0,499,4262,357,11639,423,8085,2,162945550,320,-50720,298,
62,102,Sm,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,5279,319,311,305,-3394,423,,,5454,422,12142,499,8069,2,163948360,320,-48102,298,
62,103,Sm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,6916,424,1501,416,-3645,566,,,3777,499,12227,566,8043,2,164952970,430,-43808,401,
63,101,Eu,,,0.0,0.0, , ,4.2,2,S,4.2,0.2,B-,100.0,0.0, , , , , , , , , , , ,6393,50000,-138,114,-2804,230,-5279.0,319,4967,132,9950,319,8096,1,163942693,122,-53381,114,
63,102,Eu,,,0.0,0.0, , ,2.3,2,S,2.3,0.2,B-,100.0,0.0, , , , , , , , , , , ,5729,65000,979,172,-2913,328,-6916.0,424,5414,179,9910,328,8080,1,164945546,148,-50724,138,
63,103,Eu,,,0.0,0.0, , ,1.7,3,S,1.7,0.3,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7322,300000,1174,378,-3263,467,-6478.0,537,4555,384,10688,537,8059,2,165949320,384,-47208,358,
63,104,Eu,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , , , , ,6803,499,2448,445,-3186,565,,,4874,537,10570,565,8040,2,166952753,429,-44010,400,
